,Date,Adj Close,Forecast_ARIMAX,Forecast_lstm
600,2022-05-08,41.344353000000005,40.64098626793321,
601,2022-05-09,41.434528,40.87643282509594,40.12905078113293
602,2022-05-10,41.434528,41.03432901841307,40.66081809643197
603,2022-05-11,41.028748,41.28534991184823,40.93642467451811
604,2022-05-12,40.307362,41.30043727111135,41.07742589106631
605,2022-05-15,42.007121999999995,41.07271580844539,41.04260755081439
606,2022-05-16,42.15591,41.32698813434579,40.82667483490371
607,2022-05-17,40.866436,41.70346908490195,40.73782597604227
608,2022-05-18,40.866436,41.85280949229923,40.78844475938129
609,2022-05-19,39.428177000000005,41.4443497396238,40.87814491117191
610,2022-05-22,38.882629,40.49896867921658,40.77323339524865
611,2022-05-23,39.180199,39.81603720452347,40.37431142453337
612,2022-05-24,40.150002,39.24100084733041,39.8461261687262
613,2022-05-25,41.0,39.51162732097196,39.343948010358574
614,2022-05-26,40.700001,40.246262157998,39.40892686490106
615,2022-05-29,41.349998,40.741421970018045,40.07690203340077
616,2022-05-30,41.450001,41.124591355081606,40.54413484675026
617,2022-05-31,41.900002,41.26687669308539,40.877114761401415
618,2022-06-01,41.049999,41.67188912450407,41.02878634737873
619,2022-06-02,40.200001,41.60781204871991,41.170136744989634
620,2022-06-05,40.650002,41.199800157970174,41.12954444645094
621,2022-06-06,41.0,40.77627766138033,40.9718695059812
622,2022-06-07,40.5,40.765316166984704,40.712173966863865
623,2022-06-08,40.599998,40.86184119309093,40.573685935069555
624,2022-06-09,40.400002,40.84763842849331,40.570031348308085
625,2022-06-12,39.200001,40.668272250950295,40.59372380849647
626,2022-06-13,39.400002,40.21889663301557,40.53966834838247
627,2022-06-14,39.049999,39.806910786323016,40.38186935674572
628,2022-06-15,38.450001,39.340337078371924,40.12394269538021
629,2022-06-16,38.5,39.09050025663758,39.79316518121004
630,2022-06-19,36.950001,38.78969056061703,39.48710272891187
631,2022-06-20,36.900002,38.08132920080261,39.18709121687126
632,2022-06-21,37.5,37.572360721198486,38.44765502808618
633,2022-06-22,37.200001,37.23835363372146,37.5948106388818
634,2022-06-23,37.200001,37.3391208269206,37.125431543436406
635,2022-06-26,37.650002,37.45991064254884,37.16941252276283
636,2022-06-27,37.599998,37.52652247426479,37.43380133103209
637,2022-06-28,38.849998,37.687047072085846,37.60570277438527
638,2022-06-29,39.200001,38.20810044865933,37.80390035767889
639,2022-06-30,38.799999,38.70317527621872,38.249143460787174
640,2022-07-03,38.650002,39.08155413006856,38.814854850970626
641,2022-07-04,38.150002,39.02136114133682,39.259919097237585
642,2022-07-05,38.299999,38.68999751802152,39.3633648075062
643,2022-07-06,37.950001,38.53320773205261,39.15560191111183
644,2022-07-13,36.650002,38.310883728468674,38.88349419947302
